n_chars,n,p,i
1,6,0.0019348597226701064,9.013555309891466
2,8,0.0025798129635601417,8.598517810612622
3,35,0.011286681715575621,6.469234793667656
4,152,0.049016446307642694,4.350590297169037
5,294,0.09480812641083522,3.398845465776258
6,397,0.12802321831667204,2.965522613469665
7,477,0.15382134795227345,2.7006723546071107
8,478,0.15414382457271847,2.697651002631874
9,451,0.145436955820703,2.7815341873572414
10,303,0.09771041599484037,3.3553438271396714
11,235,0.07578200580457917,3.7220008640476228
12,147,0.04740406320541761,4.398845465776258
13,64,0.020638503708481134,5.5985178106126225
14,33,0.010641728474685586,6.554123691254169
15,15,0.004837149306675266,7.691627215004104
16,3,0.0009674298613350532,10.013555309891466
17,3,0.0009674298613350532,10.013555309891466
